booking_id,passbook_number,cultivation_id,crop,centre_id,slot_datetime,token_number,quantity_to_sell_quintals,queue_status
BKG000001,PPB000282,CUL000356,Maize,PPC042,2026-09-04 09:00:00,60,14.32,PROCESSING
BKG000002,PPB000853,CUL001060,Maize,PPC027,2026-09-17 15:00:00,139,29.32,COMPLETED
BKG000003,PPB000227,CUL000284,Cotton,PPC010,2026-09-19 16:00:00,98,4.65,PROCESSING
BKG000004,PPB000534,CUL000661,Cotton,PPC019,2026-09-03 12:00:00,49,10.62,PROCESSING
BKG000005,PPB000986,CUL001222,Cotton,PPC021,2026-09-02 10:00:00,138,9.89,WAITING
BKG000006,PPB000640,CUL000795,Maize,PPC011,2026-09-06 16:00:00,109,48.95,PROCESSING
BKG000007,PPB000713,CUL000883,Groundnut,PPC029,2026-09-25 11:00:00,51,5.08,WAITING
BKG000008,PPB000749,CUL000930,Groundnut,PPC007,2026-09-07 10:00:00,59,5.56,WAITING
BKG000009,PPB000550,CUL000679,Soybean,PPC029,2026-09-03 15:00:00,110,4.9,WAITING
BKG000010,PPB000336,CUL000419,Soybean,PPC001,2026-09-15 16:00:00,37,5.53,COMPLETED
BKG000011,PPB000681,CUL000844,Paddy,PPC023,2026-09-25 16:00:00,64,109.85,PROCESSING
BKG000012,PPB000222,CUL000277,Maize,PPC014,2026-09-02 09:00:00,60,20.6,WAITING
BKG000013,PPB000652,CUL000807,Groundnut,PPC011,2026-09-08 09:00:00,70,67.93,WAITING
BKG000014,PPB000250,CUL000313,Groundnut,PPC038,2026-09-26 15:00:00,24,25.4,WAITING
BKG000015,PPB000664,CUL000823,Maize,PPC011,2026-09-22 16:00:00,75,58.88,WAITING
BKG000016,PPB000602,CUL000747,Soybean,PPC047,2026-09-14 16:00:00,140,2.82,PROCESSING
BKG000017,PPB000850,CUL001056,Groundnut,PPC007,2026-09-27 12:00:00,83,12.5,COMPLETED
BKG000018,PPB000916,CUL001137,Soybean,PPC040,2026-09-26 16:00:00,68,11.76,WAITING
BKG000019,PPB000996,CUL001234,Soybean,PPC035,2026-09-08 14:00:00,40,1.61,COMPLETED
BKG000020,PPB000467,CUL000583,Cotton,PPC022,2026-09-17 16:00:00,47,8.54,WAITING
BKG000021,PPB000609,CUL000755,Cotton,PPC038,2026-09-26 15:00:00,99,2.92,PROCESSING
