cultivation_id,passbook_number,season,cultivated_area_acres,crop,quantity_produced_quintals
CUL000001,PPB000001,2026-KHARIF,0.72,Cotton,3.7
CUL000002,PPB000001,2026-KHARIF,0.53,Paddy,14.63
CUL000003,PPB000002,2026-KHARIF,3.43,Maize,84.04
CUL000004,PPB000002,2026-KHARIF,0.57,Soybean,3.42
CUL000005,PPB000003,2026-KHARIF,1.26,Paddy,26.6
CUL000006,PPB000004,2026-KHARIF,7.41,Maize,117.35
CUL000007,PPB000005,2026-KHARIF,1.63,Groundnut,13.41
CUL000008,PPB000006,2026-KHARIF,4.21,Paddy,112.11
CUL000009,PPB000007,2026-KHARIF,7.09,Cotton,29.6
CUL000010,PPB000008,2026-KHARIF,4.23,Cotton,31.46
CUL000011,PPB000009,2026-KHARIF,0.99,Cotton,5.79
CUL000012,PPB000010,2026-KHARIF,2.59,Maize,63.37
CUL000013,PPB000011,2026-KHARIF,2.53,Maize,46.45
CUL000014,PPB000012,2026-KHARIF,0.73,Soybean,3.9
CUL000015,PPB000012,2026-KHARIF,2.58,Groundnut,19.94
CUL000016,PPB000013,2026-KHARIF,1.01,Cotton,4.27
CUL000017,PPB000014,2026-KHARIF,3.17,Groundnut,19.35
CUL000018,PPB000015,2026-KHARIF,3.54,Cotton,19.4
CUL000019,PPB000016,2026-KHARIF,2.44,Maize,36.74
CUL000020,PPB000017,2026-KHARIF,3.22,Soybean,28.48
CUL000021,PPB000018,2026-KHARIF,3.22,Paddy,82.55
CUL000022,PPB000019,2026-KHARIF,0.52,Soybean,5.04
CUL000023,PPB000020,2026-KHARIF,2.08,Groundnut,17.31
CUL000024,PPB000020,2026-KHARIF,3.69,Maize,80.55
CUL000025,PPB000021,2026-KHARIF,3.78,Soybean,27.96
CUL000026,PPB000022,2026-KHARIF,3.6,Cotton,17.62
CUL000027,PPB000023,2026-KHARIF,2.44,Maize,60.1
CUL000028,PPB000024,2026-KHARIF,6.72,Maize,125.53
CUL000029,PPB000025,2026-KHARIF,2.86,Cotton,13.09
CUL000030,PPB000026,2026-KHARIF,4.12,Groundnut,45.77
CUL000031,PPB000026,2026-KHARIF,5.15,Maize,120.52
CUL000032,PPB000027,2026-KHARIF,2.24,Soybean,15.92
CUL000033,PPB000028,2026-KHARIF,2.19,Soybean,15.81
CUL000034,PPB000028,2026-KHARIF,1.07,Cotton,5.73
CUL000035,PPB000029,2026-KHARIF,0.98,Groundnut,7.09
CUL000036,PPB000029,2026-KHARIF,1.07,Maize,22.13
CUL000037,PPB000030,2026-KHARIF,3.9,Groundnut,43.58
CUL000038,PPB000031,2026-KHARIF,1.12,Cotton,5.44
CUL000039,PPB000031,2026-KHARIF,0.57,Paddy,14.49
CUL000040,PPB000032,2026-KHARIF,2.29,Groundnut,19.4
CUL000041,PPB000032,2026-KHARIF,1.23,Cotton,7.63
CUL000042,PPB000033,2026-KHARIF,2.16,Groundnut,18.56
CUL000043,PPB000034,2026-KHARIF,0.54,Maize,10.18
CUL000044,PPB000034,2026-KHARIF,1.36,Cotton,10.79
CUL000045,PPB000035,2026-KHARIF,1.59,Groundnut,17.0
CUL000046,PPB000036,2026-KHARIF,0.93,Cotton,5.46
CUL000047,PPB000037,2026-KHARIF,1.44,Soybean,9.48
CUL000048,PPB000038,2026-KHARIF,5.91,Paddy,123.27
CUL000049,PPB000039,2026-KHARIF,7.59,Paddy,176.96
CUL000050,PPB000040,2026-KHARIF,0.73,Cotton,3.51
CUL000051,PPB000041,2026-KHARIF,3.8,Cotton,27.98
CUL000052,PPB000042,2026-KHARIF,6.14,Cotton,38.89
CUL000053,PPB000043,2026-KHARIF,3.34,Maize,59.78
CUL000054,PPB000043,2026-KHARIF,0.77,Groundnut,5.36
CUL000055,PPB000044,2026-KHARIF,1.6,Paddy,40.52
CUL000056,PPB000045,2026-KHARIF,1.5,Groundnut,14.66
CUL000057,PPB000045,2026-KHARIF,3.88,Cotton,26.23
CUL000058,PPB000046,2026-KHARIF,7.79,Maize,187.68
CUL000059,PPB000047,2026-KHARIF,3.17,Maize,75.45
CUL000060,PPB000048,2026-KHARIF,0.98,Maize,22.22
CUL000061,PPB000048,2026-KHARIF,0.67,Cotton,5.17
CUL000062,PPB000049,2026-KHARIF,3.4,Paddy,100.99
CUL000063,PPB000050,2026-KHARIF,3.46,Paddy,99.87
CUL000064,PPB000051,2026-KHARIF,0.95,Groundnut,7.41
CUL000065,PPB000052,2026-KHARIF,3.31,Paddy,99.06
CUL000066,PPB000053,2026-KHARIF,8.0,Cotton,41.36
CUL000067,PPB000054,2026-KHARIF,1.63,Soybean,8.28
CUL000068,PPB000055,2026-KHARIF,5.92,Cotton,43.84
CUL000069,PPB000056,2026-KHARIF,3.81,Groundnut,43.53
