centre_id,centre_name,agency,village,mandal,district,latitude,longitude,capacity,status
PPC001,Kondapur Procurement Centre 1,IKP,Kondapur,Serilingampally,Hyderabad,17.458657,78.353396,700,FULL
PPC002,Kondapur Procurement Centre 2,FPO,Kondapur,Serilingampally,Hyderabad,17.468956,78.353364,400,FULL
PPC003,Kondapur Procurement Centre 3,PACS,Kondapur,Serilingampally,Hyderabad,17.451371,78.355167,300,LIMITED
PPC004,Kondapur Procurement Centre 4,MEPMA,Kondapur,Serilingampally,Hyderabad,17.47178,78.364791,700,ACTIVE
PPC005,Kondapur Procurement Centre 5,IKP,Kondapur,Serilingampally,Hyderabad,17.449066,78.350326,700,ACTIVE
PPC006,Gachibowli Procurement Centre 1,FPO,Gachibowli,Serilingampally,Hyderabad,17.452151,78.355661,300,ACTIVE
PPC007,Gachibowli Procurement Centre 2,MEPMA,Gachibowli,Serilingampally,Hyderabad,17.435069,78.338512,700,INACTIVE
PPC008,Gachibowli Procurement Centre 3,IKP,Gachibowli,Serilingampally,Hyderabad,17.431753,78.339395,600,ACTIVE
PPC009,Gachibowli Procurement Centre 4,MEPMA,Gachibowli,Serilingampally,Hyderabad,17.454225,78.35741,1000,ACTIVE
PPC010,Gachibowli Procurement Centre 5,IKP,Gachibowli,Serilingampally,Hyderabad,17.432781,78.356818,400,ACTIVE
PPC011,Miyapur Procurement Centre 1,MEPMA,Miyapur,Serilingampally,Hyderabad,17.49362,78.343814,500,FULL
PPC012,Miyapur Procurement Centre 2,IKP,Miyapur,Serilingampally,Hyderabad,17.482168,78.354878,400,FULL
PPC013,Miyapur Procurement Centre 3,IKP,Miyapur,Serilingampally,Hyderabad,17.510692,78.371894,500,FULL
PPC014,Miyapur Procurement Centre 4,MEPMA,Miyapur,Serilingampally,Hyderabad,17.497415,78.37103,500,ACTIVE
PPC015,Miyapur Procurement Centre 5,MEPMA,Miyapur,Serilingampally,Hyderabad,17.508634,78.365934,1000,ACTIVE
PPC016,Bachupally Procurement Centre 1,PACS,Bachupally,Quthbullapur,Medchal,17.55845,78.368206,500,ACTIVE
PPC017,Bachupally Procurement Centre 2,PACS,Bachupally,Quthbullapur,Medchal,17.544365,78.36533,500,INACTIVE
PPC018,Bachupally Procurement Centre 3,PACS,Bachupally,Quthbullapur,Medchal,17.542804,78.36547,500,ACTIVE
PPC019,Bachupally Procurement Centre 4,IKP,Bachupally,Quthbullapur,Medchal,17.541927,78.363912,400,FULL
PPC020,Bachupally Procurement Centre 5,FPO,Bachupally,Quthbullapur,Medchal,17.552876,78.352292,300,FULL
PPC021,Shamirpet Procurement Centre 1,FPO,Shamirpet,Shamirpet,Medchal,17.606769,78.559737,300,LIMITED
PPC022,Shamirpet Procurement Centre 2,IKP,Shamirpet,Shamirpet,Medchal,17.601619,78.569982,700,ACTIVE
