procurement_id,booking_id,quantity_submitted_quintals,quantity_accepted_quintals,price_per_quintal,amount_payable,payment_status
PRC000001,BKG000002,29.32,27.96,2400,67104.0,PROCESSING
PRC000002,BKG000010,5.53,5.29,2500,13225.0,FAILED
PRC000003,BKG000017,12.5,12.44,2200,27368.0,COMPLETED
PRC000004,BKG000019,1.61,1.6,2500,4000.0,PROCESSING
PRC000005,BKG000036,3.56,3.44,2200,7568.0,COMPLETED
PRC000006,BKG000037,17.88,17.2,2500,43000.0,COMPLETED
PRC000007,BKG000042,9.17,8.82,2200,19404.0,COMPLETED
PRC000008,BKG000044,9.79,9.32,2200,20504.0,COMPLETED
PRC000009,BKG000050,7.96,7.67,2200,16874.0,FAILED
PRC000010,BKG000051,7.38,7.21,2200,15862.0,PROCESSING
PRC000011,BKG000053,8.63,8.57,2200,18854.0,FAILED
PRC000012,BKG000056,14.49,13.85,2300,31855.0,PROCESSING
PRC000013,BKG000062,4.65,4.6,2300,10580.0,PROCESSING
PRC000014,BKG000063,65.74,62.92,2300,144716.0,PROCESSING
PRC000015,BKG000064,4.12,4.04,2400,9696.0,COMPLETED
PRC000016,BKG000068,2.7,2.66,2500,6650.0,COMPLETED
PRC000017,BKG000069,1.66,1.62,2400,3888.0,COMPLETED
PRC000018,BKG000072,3.49,3.47,2300,7981.0,COMPLETED
PRC000019,BKG000077,29.28,27.88,2500,69700.0,PROCESSING
PRC000020,BKG000078,0.88,0.84,2500,2100.0,COMPLETED
PRC000021,BKG000081,2.65,2.64,2500,6600.0,COMPLETED
PRC000022,BKG000085,6.14,6.04,2400,14496.0,COMPLETED
PRC000023,BKG000092,33.96,33.93,2300,78039.0,PROCESSING
PRC000024,BKG000096,51.54,49.79,2400,119496.0,COMPLETED
PRC000025,BKG000098,21.11,21.03,2300,48369.0,FAILED
PRC000026,BKG000114,10.1,9.64,2200,21208.0,FAILED
PRC000027,BKG000123,6.9,6.6,2500,16500.0,COMPLETED
PRC000028,BKG000124,10.95,10.75,2300,24725.0,COMPLETED
PRC000029,BKG000130,4.54,4.51,2400,10824.0,COMPLETED
PRC000030,BKG000133,2.63,2.55,2500,6375.0,COMPLETED
PRC000031,BKG000135,6.03,5.99,2400,14376.0,COMPLETED
PRC000032,BKG000141,29.03,27.76,2500,69400.0,PROCESSING
